"ID","Trial","Sex","Light","Age","Entry_latency_new","EntryZone_freq_new","Goal.Box_feq_new","Goal.Box_latency_new","Hole_errors","Q1","Q2","Q3","Q4","DistanceMoved_cm","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
1,1,1,1,2,136.9,5,1,157.1,19,14.3561,27.7264,27.6648,27.4184,1386.96,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
1,2,1,1,2,128.199,1,0,0,13,30.3977,23.2955,20.8807,19.9574,1271.13,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
1,3,1,1,2,132.199,5,1,137.799,25,27.2028,11.8881,30.1399,29.021,1468.4,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
1,4,1,1,2,123.8,1,0,0,2,11.0599,29.1639,18.8282,27.5839,521.888,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
1,5,1,1,2,30.7999,3,0,0,19,22.5948,12.172,27.9155,36.4431,1002.91,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
1,6,1,1,2,0,0,0,0,12,28.8967,19.2644,17.8634,33.9755,908.626,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
2,1,1,1,1,88.0999,3,1,99.7999,22,51.3333,8.66667,8.38095,29.1429,868.655,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
2,2,1,1,1,17.9,2,1,23.1,4,25.4417,12.3675,5.65371,54.417,232.621,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
2,3,1,1,1,8.79996,2,1,10.7,2,3.77358,0,10.6918,74.8428,152.343,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
2,4,1,1,1,14.8999,4,1,68.5997,18,28.9973,6.63957,24.9322,36.3144,857.155,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
2,5,1,1,1,7.99997,2,1,10.6,4,15.8228,0,0,60.1266,108.596,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
2,6,1,1,1,11.8,1,0,0,20,22.7671,19.965,18.4764,38.7916,1823.09,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
3,1,1,2,1,122.2,2,1,129.299,13,1.56134,1.56134,30.7063,63.8662,568.938,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
3,2,1,2,1,126.399,3,1,127.699,21,25.9594,13.6193,29.1949,30.3236,1597.06,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
3,3,1,2,1,101.1,2,1,103.3,12,15.1152,5.62212,41.659,34.5622,974.415,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
3,4,1,2,1,54.9998,3,1,60.7998,1,11.9697,36.2121,28.0303,18.7879,334.95,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
3,5,1,2,1,4.59998,2,1,7.39997,3,0,0,0,67.4603,39.4614,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
3,6,1,2,1,1.19999,7,0,0,30,3.59019,19.0893,21.2785,56.042,1340.19,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
4,1,1,1,2,132.799,29,9,145.499,35,7.01702,11.6154,4.00119,66.5273,1005.19,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
4,2,1,1,2,40.0998,5,1,51.5998,3,21.6549,41.5493,0,34.8592,246.938,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
4,3,1,1,2,37.1999,3,1,45.7998,4,9.80392,9.01961,38.6275,35.6863,304.662,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
4,4,1,1,2,133.099,1,0,0,7,29.1132,9.80163,25.6126,35.4726,723.024,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
4,5,1,1,2,122.5,3,2,128.799,5,11.9565,1.29076,39.2663,40.6929,489.74,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
4,6,1,1,2,0,0,0,0,2,37.1609,6.14828,12.4774,44.2134,327.917,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
5,1,1,2,1,77.6999,4,1,89.4999,12,49.208,3.59029,9.08131,34.3189,467.357,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
5,2,1,2,1,4.19998,3,1,6.59997,2,0,0,0,95.7627,31.6267,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
5,3,1,2,1,98.6999,4,1,105,14,19.2377,18.4211,14.9728,44.0109,596.182,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
5,4,1,2,1,100.8,2,1,110.1,15,23.5039,4.16305,35.039,34.1717,622.681,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
5,5,1,2,1,0.599997,1,0,0,0,0,0,0,100,41.112,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
5,6,1,2,1,9.19999,5,0,0,26,33.6252,5.25394,16.0245,45.0963,1194.53,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
6,1,1,2,2,131.599,13,10,144.599,42,12.1555,5.17453,14.5744,61.1451,1324.13,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
6,2,1,2,2,20.6,7,1,36.3,6,30.6024,11.0843,0,50.8434,265.059,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
6,3,1,2,2,93.9999,2,1,103.6,18,31.8934,12.5919,25.0919,27.5735,1247.3,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
6,4,1,2,2,117.6,1,0,0,3,40.2502,11.4054,17.145,22.5901,697.345,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
6,5,1,2,2,123.1,7,6,123.6,18,21.811,5.02313,26.9002,42.8949,1328.13,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
6,6,1,2,2,73.8997,1,0,0,4,35.3765,6.65499,9.63222,48.3363,644.321,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
7,1,1,2,2,9.29999,10,2,132.8,31,19.2474,26.4035,11.2893,37.3843,1135.33,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
7,2,1,2,2,57.1998,4,1,73.2997,13,20.8917,4.07643,39.6178,30.828,767.243,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
7,3,1,2,2,0.799996,2,1,5.39998,1,0,0,0,75.4717,47.8868,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
7,4,1,2,2,41.6998,2,0,0,12,18.3916,6.29371,18.1119,57.2028,659.204,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
7,5,1,2,2,24,2,1,34.1,4,8.39695,0,14.7583,66.6667,188.117,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
7,6,1,2,2,25.3999,5,0,0,15,29.2469,12.2592,16.4623,42.0315,973.678,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
8,1,1,1,2,127.699,12,8,139.199,27,10.3106,12.6708,0.838509,49.9689,1023.95,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
8,2,1,1,2,120.1,4,1,124.4,6,16.4352,34.3364,12.5772,32.6389,1213.17,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
8,3,1,1,2,61.8998,5,4,73.3997,11,25.5725,12.4682,11.8321,45.8015,505.561,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
8,4,1,1,2,125.599,9,5,131.899,5,13.8744,14.256,5.82726,50.1214,504.877,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
8,5,1,1,2,46.2998,22,8,125.999,26,7.94927,6.99041,9.27931,48.6236,994.724,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
8,6,1,1,2,0,0,0,0,2,4.20315,24.4308,12.8722,58.4939,337.77,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
9,1,1,2,2,134.899,2,1,137.499,21,32.7961,16.398,25.0175,23.4057,1226.27,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
9,2,1,2,2,34.2,2,1,42.1,7,34.6723,25.5814,3.59408,28.9641,346.894,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
9,3,1,2,2,0,4,1,18.0999,4,0,0,0,84.1202,59.9344,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
9,4,1,2,2,12.9,2,1,21.9,2,0,0,24.3542,61.2546,132.59,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
9,5,1,2,2,103.9,2,1,113,20,28.4264,17.4281,24.6193,25.9729,1020.86,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
9,6,1,2,2,6.49999,3,0,0,25,17.1629,11.9089,33.8003,37.1278,1318.46,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
10,1,1,1,1,122.866,2,1,126.966,7,18.0762,17.3441,43.9535,18.0762,846.212,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
10,2,1,1,1,67.0997,3,1,70.6664,6,4.01427,8.02855,45.1383,38.6708,649.893,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
10,3,1,1,1,24.7999,2,1,27.9999,6,29.2169,0,0,58.1325,122.988,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
10,4,1,1,1,74.5999,2,1,77.8999,12,20.2166,27.3165,15.5235,32.3706,804.16,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
10,5,1,1,1,0,1,0,0,0,0,0,0,100,9.03183,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
10,6,1,1,1,38.9,3,0,0,16,8.27002,12.3904,22.2385,57.1011,1189.63,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
