"ID","Sex","Age.at.Start..Month.","Age.Group","Light.Group","PRE.POST","Amplitude","Period","Phase","Mean","X..Variance","MESOR","F","p","RA","IV","IS","Group","Group_Age_Light","Group_Age_Sex","Age_new","Group_Sex_Light","Sex_new","Light_new"
"1","M  ","29","Old-age","CNT","POST",2.861,24,355.5,5.571,5.291,5.571,386.497,0,0.251,1.212,0.292,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"1","M  ","29","Old-age","CNT","PRE",2.777,24,14,3.442,5.312,3.442,310.494,0,0.432,1.136,0.405,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"2","M  ","10","Middle-age","CNT","POST",2.945,24,19.5,2.571,9.358,2.571,765.374,0,0.584,1.392,0.508,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"2","M  ","10","Middle-age","CNT","PRE",3.028,24,9.5,2.003,7.844,2.003,619.882,0,0.765,1.244,0.578,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"3","M  ","10","Middle-age","ISF","POST",0.826,24,282.75,16.293,3.581,16.293,310.441,0,0.024,1.547,0.333,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"3","M  ","10","Middle-age","ISF","PRE",0.904,24,77,15.123,1.4,15.123,47.742,0,0.044,0.904,0.229,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"4","M  ","29","Old-age","CNT","POST",1.86,24,13.75,3.428,3.204,3.428,245.831,0,0.279,0.899,0.259,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"4","M  ","29","Old-age","CNT","PRE",2.976,24,37.25,3.774,8.09,3.774,544.792,0,0.37,1.188,0.52,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"5","M  ","10","Middle-age","ISF","POST",4.044,24,20.5,3.483,13.706,3.483,1165.922,0,0.555,1.282,0.521,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"5","M  ","10","Middle-age","ISF","PRE",2.706,24,17.5,2.053,5.845,2.053,432.524,0,0.775,1.465,0.548,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"6","M  ","29","Old-age","ISF","POST",2.668,24,7.5,2.628,9.401,2.628,783.425,0,0.469,1.343,0.492,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"6","M  ","29","Old-age","ISF","PRE",2.086,24,11.75,1.415,5.993,1.415,385.814,0,0.801,1.617,0.549,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"7","M  ","29","Old-age","CNT","POST",0.627,24,203.5,15.356,0.354,15.356,20.245,0,0.023,1.762,0.082,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"7","M  ","29","Old-age","CNT","PRE",0.787,24,86.75,13.884,0.226,13.884,10.836,0,0.052,1.163,0.078,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"8","M  ","29","Old-age","CNT","POST",2.175,24,17.75,2.975,4.517,2.975,357.049,0,0.359,1.072,0.329,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"8","M  ","29","Old-age","CNT","PRE",2.372,24,14.25,2.955,5.125,2.955,337.253,0,0.413,1.539,0.533,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"9","M  ","29","Old-age","ISF","POST",2.554,24,358.5,3.94,5.129,3.94,277.322,0,0.347,1.358,0.501,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"9","M  ","29","Old-age","ISF","PRE",2.987,24,19.5,2.62,7.03,2.62,496.483,0,0.585,0.975,0.58,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"10","M  ","10","Middle-age","CNT","POST",0.416,24,180.75,15.3,0.672,15.3,46.938,0,0.015,2.005,0.156,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"10","M  ","10","Middle-age","CNT","PRE",0.554,24,206.75,15.617,1.282,15.617,43.02,0,0.027,1.262,0.34,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"11","M  ","11","Middle-age","ISF","POST",3.339,24,331.5,3.965,9.541,3.965,689.142,0,0.392,0.701,0.359,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"11","M  ","11","Middle-age","ISF","PRE",3.302,24,10,4.411,11.223,4.411,427.478,0,0.373,0.763,0.556,"Mid_Male_ISF","Mid_ISF","Mid_Male","Mid","Male_ISF","Male","ISF"
"12","M  ","10","Middle-age","CNT","POST",0.448,24,236.25,15.192,0.165,15.192,13.322,0,0.028,1.297,0.083,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"12","M  ","10","Middle-age","CNT","PRE",1.349,24,241.25,15.289,0.638,15.289,53.797,0,0.045,1.397,0.226,"Mid_Male_CTR","Mid_CTR","Mid_Male","Mid","Male_CTR","Male","CTR"
"15","M  ","24","Old-age","ISF","POST",2.836,24,3.25,3.635,7.578,3.635,534.538,0,0.357,1.309,0.454,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"15","M  ","24","Old-age","ISF","PRE",3.735,24,27.5,3.023,13.704,3.023,573.661,0,0.602,1.178,0.599,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"16","M  ","24","Old-age","CNT","POST",0.378,24,168.75,16.439,0.602,16.439,44.418,0,0.014,1.823,0.125,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"16","M  ","24","Old-age","CNT","PRE",0.48,24,162.5,15.746,0.981,15.746,36.021,0,0.013,1.706,0.308,"Old_Male_CTR","Old_CTR","Old_Male","Old","Male_CTR","Male","CTR"
"17","M  ","24","Old-age","ISF","POST",3.028,24,9.75,3.238,10.315,3.238,779.134,0,0.422,1.195,0.558,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"17","M  ","24","Old-age","ISF","PRE",2.781,24,41,3.099,9.281,3.099,366.713,0,0.453,1.271,0.671,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"18","M  ","24","Old-age","ISF","POST",1.06,24,183,18.193,1.962,18.193,142.634,0,0.032,1.78,0.216,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"18","M  ","24","Old-age","ISF","PRE",2.217,24,245.75,17.402,3.603,17.402,185.59,0,0.078,1.03,0.378,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"19","M  ","25","Old-age","ISF","POST",4.683,24,38.75,3.463,15.434,3.463,1241.244,0,0.624,1.022,0.621,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
"19","M  ","25","Old-age","ISF","PRE",3.653,24,1.5,2.418,9.132,2.418,345.546,0,0.818,1.277,0.697,"Old_Male_ISF","Old_ISF","Old_Male","Old","Male_ISF","Male","ISF"
