outcome,outcome_label,predictor,beta,se,p,r2,p_fdr
barnes_accuracy,Barnes T6 probe accuracy,IS_pre,0.03153981935398035,0.09039833668413214,0.7271657166171467,0.19262915236590872,0.833619580947561
barnes_accuracy,Barnes T6 probe accuracy,IV_pre,0.04064044886195197,0.03775437895019526,0.2817290389959739,0.19988634846809894,0.6761496935903374
barnes_accuracy,Barnes T6 probe accuracy,RA_pre,-0.022394276458011786,0.05068870503721709,0.6586338447330979,0.19291283998024011,0.833619580947561
barnes_accuracy,Barnes T6 probe accuracy,Amplitude_pre,-0.010370571505352397,0.009038768474819554,0.2512397167498073,0.2020040622424395,0.6761496935903374
barnes_accuracy,Barnes T6 probe accuracy,IS_post,-0.054905569122901086,0.07647337618127463,0.47277595217098267,0.19664085268828013,0.8104730608645416
barnes_accuracy,Barnes T6 probe accuracy,IV_post,0.010272729748347675,0.03423856127408666,0.7641512825352642,0.1925413171565321,0.833619580947561
barnes_accuracy,Barnes T6 probe accuracy,RA_post,0.02343322668665928,0.0661473555088853,0.7231455765176306,0.19350218126143903,0.833619580947561
barnes_accuracy,Barnes T6 probe accuracy,Amplitude_post,-0.010390824978155465,0.00756261724157273,0.169450348879574,0.20425010412632794,0.6761496935903374
barnes_accuracy,Barnes T6 probe accuracy,delta_IS,-0.119904919050961,0.08777838925977346,0.171940253081992,0.20681685621158807,0.6761496935903374
barnes_accuracy,Barnes T6 probe accuracy,delta_IV,-0.030612287520764895,0.03589212513583534,0.39371639971700534,0.19606635308242815,0.7874327994340107
barnes_accuracy,Barnes T6 probe accuracy,delta_RA,0.09383911665610241,0.07590717963385574,0.21637120258906795,0.20479611034453193,0.6761496935903374
barnes_accuracy,Barnes T6 probe accuracy,delta_Amplitude,-0.0019369420761450817,0.010088681410149623,0.8477487860082372,0.19144062486460178,0.8477487860082372
learning_slope,Barnes learning slope (T1-5),IS_pre,0.010785536805768641,0.04513593310646151,0.8111391039353113,0.01295964969638641,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),IV_pre,-0.008893200743391876,0.024430493720074425,0.7158426950450024,0.013703273039227692,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),RA_pre,0.016968553953980305,0.02962302939428989,0.5667690845274611,0.015470418278242803,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),Amplitude_pre,0.0023969633617448175,0.0067081831112742255,0.7208527754996084,0.014167905493068567,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),IS_post,-0.028179044272423456,0.04514781803060065,0.5325285904724324,0.018668533222598427,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),IV_post,0.018214974090167865,0.02683567000669408,0.4972900670000885,0.02014302430041659,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),RA_post,-0.019664193651782704,0.03289501233463091,0.5499824126090975,0.01819886433558382,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),Amplitude_post,-0.0014112454105258427,0.005968387672484943,0.8130808826135151,0.01569132421618047,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),delta_IS,-0.05429141446280136,0.07832117684374988,0.48819066033570824,0.022328296556226257,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),delta_IV,0.026455581558140526,0.02703990200654138,0.32788125578873784,0.02361585949124434,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),delta_RA,-0.07428633525412784,0.04599506403717043,0.10629041873209619,0.038297034167017685,0.8130808826135151
learning_slope,Barnes learning slope (T1-5),delta_Amplitude,-0.004941395583477553,0.009015214400463219,0.5836113161498768,0.018194961432549617,0.8130808826135151
nor_DI,NOR Discrimination Index,IS_pre,-0.15568020022127763,0.17872045574249848,0.3837092954700777,0.2100818880910983,0.7634465566022673
nor_DI,NOR Discrimination Index,IV_pre,0.011483968757958972,0.09529788576538073,0.9040823125417853,0.20102817085958968,0.9095873215072616
nor_DI,NOR Discrimination Index,RA_pre,-0.05719293164218926,0.12091252443507648,0.6362054638352228,0.20380113133680322,0.7634465566022673
nor_DI,NOR Discrimination Index,Amplitude_pre,-0.028650746777541237,0.02738486683738024,0.29545691918121053,0.21955199086598332,0.7634465566022673
nor_DI,NOR Discrimination Index,IS_post,-0.09526025781296574,0.1839367455024149,0.6045302523733203,0.21300067072509699,0.7634465566022673
nor_DI,NOR Discrimination Index,IV_post,-0.06278480955785486,0.09827808192019098,0.5229214648004055,0.21429663256275588,0.7634465566022673
nor_DI,NOR Discrimination Index,RA_post,-0.014903532986036866,0.13124033849086886,0.9095873215072616,0.20974750661152008,0.9095873215072616
nor_DI,NOR Discrimination Index,Amplitude_post,-0.033287686822986065,0.025694199806529275,0.19513638390902877,0.2400198892959472,0.7634465566022673
nor_DI,NOR Discrimination Index,delta_IS,0.08446020986804696,0.1612987409585563,0.6005387141519727,0.20277404565653945,0.7634465566022673
nor_DI,NOR Discrimination Index,delta_IV,-0.07810853530881076,0.08187005629625477,0.34005581056633527,0.2078960582092687,0.7634465566022673
nor_DI,NOR Discrimination Index,delta_RA,0.1150385442844003,0.13858778377489492,0.4064951991378679,0.20547289889546583,0.7634465566022673
nor_DI,NOR Discrimination Index,delta_Amplitude,-0.015293773295205515,0.021739954622318727,0.4817523674423394,0.20492957036716597,0.7634465566022673
