ID,IS_pre,IV_pre,RA_pre,Amplitude_pre,cluster,PC1,PC2
1,0.405,1.136,0.432,2.777,1,-0.8474249015316526,-0.29076607738096555
2,0.578,1.244,0.765,3.028,1,0.5301215007042162,0.5999083587335513
3,0.229,0.904,0.044,0.904,0,-2.9308781918070483,-1.4272758518313096
4,0.52,1.188,0.37,2.976,1,-0.5468052095131097,0.015761937543375886
5,0.548,1.465,0.775,2.706,1,0.16490622125980736,1.2685215156679273
6,0.549,1.617,0.801,2.086,1,-0.12985701568404395,1.8295598996537985
7,0.078,1.163,0.052,0.787,0,-3.6613434108221012,-0.8951676869004552
8,0.533,1.539,0.413,2.372,1,-0.8937704991928478,1.223973464807466
9,0.58,0.975,0.585,2.987,1,0.2999770709950134,-0.360684651708504
10,0.34,1.262,0.027,0.554,0,-2.9776993327186094,-0.08800025272202744
11,0.556,0.763,0.373,3.302,1,0.012241924707427347,-1.2603013667224403
12,0.226,1.397,0.045,1.349,0,-3.1019514557853647,0.035953473699318325
15,0.599,1.178,0.602,3.735,1,0.565777989753442,0.22867613683139604
16,0.308,1.706,0.013,0.48,0,-3.4589769984234993,1.2168815205278023
17,0.671,1.271,0.453,2.781,1,0.02519519176425407,0.6437371914926461
18,0.378,1.03,0.078,2.217,0,-1.8956010521409365,-0.8805477927389678
19,0.697,1.277,0.818,3.653,1,1.2909208672997785,0.8965998164154392
20,0.817,0.867,0.64,5.107,1,2.1763398791421955,-0.44407718374229516
21,0.586,1.137,0.582,3.084,1,0.24036668573049474,0.1363462263753518
22,0.364,1.311,0.028,0.711,0,-2.8631565019494536,0.09121038712544613
23,0.663,0.93,0.851,2.432,1,0.9952493864920228,-0.07188542601955336
24,0.391,2.106,0.032,0.555,0,-3.377835313392386,2.612297080438
25,0.753,1.132,0.785,4.967,1,2.0427923767860983,0.38035222414771697
26,0.13,1.568,0.03,0.641,0,-3.873043550676922,0.4502727559702808
27,0.582,1.105,0.852,2.487,1,0.618560770325877,0.3086830095576053
28,0.599,0.869,0.627,4.724,1,1.2383970455167799,-0.816410890780183
29,0.709,1.138,0.692,3.287,1,0.9953546397605971,0.4345099547201217
30,0.51,1.398,0.497,4.097,1,0.01444565553249751,0.6151592907209154
31,0.415,1.095,0.606,2.675,1,-0.43154882993218535,-0.25091247287058915
32,0.496,1.463,0.785,1.756,1,-0.3753877616596366,1.2800767760098863
33,0.553,1.402,0.398,1.799,1,-0.9955721731488814,0.8932724648338392
34,0.506,0.878,0.653,5.145,1,1.1408799707502022,-0.9921128946082814
35,0.555,1.151,0.624,4.212,1,0.6759669253725329,0.02517271757684023
36,0.601,1.221,0.786,5.291,1,1.5901268345330055,0.3311666205409767
37,0.108,1.753,0.038,0.65,0,-4.055987739272508,0.9838430762102165
39,0.553,1.329,0.517,3.172,1,-0.11874638292522713,0.6047865860084599
40,0.334,1.401,0.447,2.494,0,-1.3575608149583827,0.4353732844380679
41,0.614,1.186,0.668,3.932,1,0.8412894025911465,0.3106867857001118
42,0.625,1.138,0.826,4.998,1,1.7025797645249594,0.18537379456670278
43,0.638,0.762,0.571,4.08,1,1.059582851005271,-1.042661146958983
44,0.618,1.249,0.592,3.01,1,0.26540258641607783,0.5580848937242738
45,0.509,1.419,0.785,3.609,1,0.4510258954033499,0.9580631693333453
47,0.048,0.154,0.106,2.782,0,-2.1313299667941186,-4.245417679398369
48,0.553,1.243,0.597,4.163,1,0.523977770704238,0.28935130462955816
49,0.011,0.122,0.037,0.486,0,-3.3234288747797,-4.206235423822468
50,0.494,1.212,0.621,3.838,1,0.2647344399055316,0.13807290808165448
51,0.439,1.21,0.542,3.163,1,-0.37607709593158567,0.043256640137885084
52,0.252,1.141,0.532,1.881,0,-1.515181682475492,-0.3845030155208512
53,0.461,0.917,0.81,4.166,1,0.9174288544423856,-0.7231165026757812
54,0.297,1.326,0.46,0.816,0,-2.083509911536644,0.3356298314748305
55,0.544,0.991,0.764,3.389,1,0.7330768201863441,-0.2856610409890225
57,0.377,1.186,0.611,2.201,1,-0.8067484816826449,0.015500374922687018
58,0.51,1.152,0.731,2.247,1,-0.033867318795837265,0.2504126664030249
60,0.499,1.19,0.695,3.797,1,0.4483202224569434,0.14210507395098915
61,0.285,0.826,0.262,2.307,0,-1.6209985693422846,-1.5515729790340695
62,0.546,0.636,0.806,3.156,1,0.98791997022325,-1.3162611469766035
63,0.5,1.269,0.455,4.103,1,-0.022920687191795575,0.16542133319445365
64,0.553,1.394,0.691,4.984,1,0.9644748751808061,0.7343229117949583
65,0.587,1.167,0.487,4.196,1,0.45835796462896566,0.029956305808377052
66,0.578,1.217,0.663,3.714,1,0.5958637534248039,0.3590851593795388
67,0.597,1.007,0.54,3.883,1,0.5974922295203788,-0.3670973778762341
68,0.612,1.183,0.799,4.0,1,1.160797108159788,0.39204734517150314
69,0.563,0.828,0.747,3.822,1,1.0490868377635947,-0.8144783737532169
70,0.371,0.944,0.76,4.483,1,0.6034114721826438,-0.8851009391629217
71,0.57,0.879,0.685,4.634,1,1.2263279121242467,-0.7849421070985323
72,0.49,1.151,0.812,2.465,1,0.1696860982210301,0.2478557371240577
73,0.263,1.556,0.391,0.501,0,-2.644913939974781,0.9620253256551474
74,0.637,1.034,0.783,3.41,1,1.0754428398607443,0.034983133035050455
75,0.332,1.343,0.426,2.794,0,-1.2500633278360742,0.20237456680234897
76,0.465,1.006,0.722,2.505,1,-0.0032307977425486837,-0.3208134926922844
77,0.638,1.189,0.518,3.647,1,0.4666789778591074,0.28080286485747746
78,0.499,0.95,0.68,4.225,1,0.7549265006551111,-0.6577059528884661
