Outcome,n_CTR,n_ISF,mean_CTR,mean_ISF,Cohen_d,Power_observed,Power_d05
Circadian IS (PRE),49,44,0.4827551020408163,0.5290454545454545,0.2861832203100161,0.2758454621567301,0.6634918506604846
Circadian IS (POST),49,45,0.46195918367346944,0.5102888888888888,0.2990544213628573,0.2995591373462523,0.6687110949460812
Circadian IV (PRE),49,44,1.187734693877551,1.1043181818181818,-0.2796255051330229,0.2655648026526785,0.6634918506604846
Circadian IV (POST),49,45,1.1695306122448978,1.1624444444444444,-0.02376336584415471,0.05148733721203248,0.6687110949460812
Circadian RA (PRE),49,44,0.5603061224489796,0.6004318181818182,0.15878883283511383,0.11769775038625198,0.6634918506604846
Circadian RA (POST),49,45,0.5111836734693878,0.5370666666666667,0.11126798639106615,0.08316683842224845,0.6687110949460812
Circadian Amplitude (PRE),49,44,3.167061224489796,3.2740681818181816,0.07549425095938878,0.06494726095272949,0.6634918506604846
Circadian Amplitude (POST),49,45,2.9876734693877554,3.2671333333333337,0.18855781927853701,0.14752475319154654,0.6687110949460812
delta_IS (POST-PRE),49,44,-0.02079591836734693,-0.019545454545454546,0.008762740569851126,0.050199672768026365,0.6634918506604846
Barnes T6 probe accuracy,43,45,0.16158815994603928,0.15771372325589522,-0.029348177907947512,0.05212425333173538,0.639985203323517
Barnes T6 Hole_errors,43,45,18.093023255813954,18.08888888888889,-0.00043024239050590474,0.050000455943381844,0.639985203323517
Barnes T6 DistanceMoved_cm,43,45,1414.955023255814,1381.0954666666667,-0.07770224472927612,0.06500070820802092,0.639985203323517
Barnes T6 Goal_Box_latency_new,43,45,2.941860465116279,0.21965044444444445,-0.2013106702375253,0.15423557622982675,0.639985203323517
NOR DI,39,40,0.5756134037430046,0.5369732607141436,-0.1457265469887779,0.0980126571911481,0.5925768304699747
