outcome,outcome_label,metric1,metric2,interaction_beta,interaction_p,base_r2,interaction_r2,delta_r2,p_fdr
barnes_accuracy,Barnes T6 probe accuracy,IS_pre,IV_pre,0.19854501553134157,0.26346791736938135,0.20203924969743847,0.21320146372738213,0.011162214029943662,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IS_pre,RA_pre,0.2923207274263299,0.4728502126760533,0.20421607963270072,0.2117333257571704,0.00751724612446969,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IS_pre,Amplitude_pre,0.028534367782430486,0.6050516023084601,0.2342172433664209,0.23675009479913844,0.002532851432717531,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IV_pre,RA_pre,0.04515321001034346,0.7239882521723426,0.20099351481476124,0.2023425815199683,0.0013490667052070693,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IV_pre,Amplitude_pre,0.011883628181258361,0.6543667989615094,0.2058670603615521,0.2077031420806308,0.001836081719078675,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,RA_pre,Amplitude_pre,-0.011438065467853784,0.7808759841751276,0.20291771248867718,0.20368904992858217,0.0007713374399049844,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IS_post,IV_post,-0.005526541461013165,0.9755719842846783,0.19665365789518174,0.1966613622908152,7.704395633467698e-06,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IS_post,RA_post,0.3152699521804465,0.34141855343007455,0.22791129908393193,0.23770807022473428,0.009796771140802352,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IS_post,Amplitude_post,0.029749631249720784,0.47219245599528226,0.20438495656428535,0.2083863454078151,0.004001388843529741,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IV_post,RA_post,-0.02972755876714665,0.8309648651916302,0.19548639737954232,0.1958197827890853,0.00033338540954297446,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,IV_post,Amplitude_post,0.0038163012843232787,0.8698040146722269,0.2069248138204428,0.2071442904967722,0.00021947667632937762,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,RA_post,Amplitude_post,0.02595889298417264,0.44672784085189055,0.22190876820097927,0.22677141830688874,0.004862650105909472,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,delta_IS,delta_IV,0.15261472390609368,0.5409964381527529,0.20920146124557104,0.21697270202908958,0.00777124078351854,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,delta_IS,delta_RA,-0.32910900504824636,0.19932700228340194,0.25107329006583756,0.2615375632413184,0.01046427317548082,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,delta_IS,delta_Amplitude,0.002937358667559329,0.9595797044871844,0.2117522113510074,0.2117795540601124,2.734270910498271e-05,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,delta_IV,delta_RA,-0.08896630433595487,0.6063654324428854,0.2117877213792534,0.2148360219967801,0.0030483006175267002,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,delta_IV,delta_Amplitude,0.03653141378777066,0.36094832402632504,0.1974848789006064,0.20783450333978215,0.010349624439175753,0.9755719842846783
barnes_accuracy,Barnes T6 probe accuracy,delta_RA,delta_Amplitude,-0.05269890523833685,0.37721886212119504,0.20904680084559724,0.22351574027324916,0.014468939427651928,0.9755719842846783
