Outcome,Term,beta,p,p_fdr
DI_duration,Age[Old],0.0626984015710136,0.4826291619105577,0.596188964754957
DI_duration,Sex[Male],-0.04767342185786997,0.5709002337020916,0.6309949953776081
DI_duration,Age[Old]:Sex[Male],-0.1686102005299025,0.1536801981921995,0.4610405945765985
DI_frequency,Age[Old],-0.004229361757447915,0.8333335839990268,0.8333335839990268
DI_frequency,Sex[Male],0.044532306220642935,0.04810885890782798,0.4610405945765985
DI_frequency,Age[Old]:Sex[Male],0.012065437132220795,0.6833603126195267,0.7175283282505031
novel_preference_pct,Age[Old],3.134920078326405,0.482629161944489,0.596188964754957
novel_preference_pct,Sex[Male],-2.383671091586996,0.570900233913074,0.6309949953776081
novel_preference_pct,Age[Old]:Sex[Male],-8.430510027764514,0.15368019813653408,0.4610405945765985
total_exploration_s,Age[Old],-6.577000942857145,0.24689145191420192,0.4833414232976346
total_exploration_s,Sex[Male],8.671659634782623,0.09712800640184688,0.4610405945765985
total_exploration_s,Age[Old]:Sex[Male],-10.823691764652757,0.15244651809827042,0.4610405945765985
N_obj_nose_duration_s,Age[Old],-5.285714285714288,0.3222276155317564,0.4833414232976346
N_obj_nose_duration_s,Sex[Male],4.978260869565228,0.3121911205414585,0.4833414232976346
N_obj_nose_duration_s,Age[Old]:Sex[Male],-8.783455674760038,0.2040863040531553,0.4785991536029362
F_obj_nose_duration_s,Age[Old],-1.2912866571428587,0.27612948317783714,0.4833414232976346
F_obj_nose_duration_s,Sex[Male],3.693398765217395,0.017167734636819327,0.3605224273732059
F_obj_nose_duration_s,Age[Old]:Sex[Male],-2.040236089892717,0.28959820378964596,0.4833414232976346
N_obj_nose_latency,Age[Old],-9.166762428571422,0.20511392297268694,0.4785991536029362
N_obj_nose_latency,Sex[Male],13.85310813043481,0.1253452104336997,0.4610405945765985
N_obj_nose_latency,Age[Old]:Sex[Male],-10.31711124731794,0.41798002240618437,0.5851720313686581
